"service_request_id","municipality_id","month_start_date","created_at","completed_at","requests_received","requests_rejected","requests_completed_within_sla","requests_completed","reopen_rate","avg_request_satisfaction_score"
"SR-M003-202508","M003","2025-08-01","2025-08-01T00:00:00","2025-08-15T00:00:00","81","4","72","75","0.08","0.765"
"SR-M003-202509","M003","2025-09-01","2025-09-01T00:00:00","2025-09-15T00:00:00","82","4","73","76","0.08","0.765"
"SR-M003-202510","M003","2025-10-01","2025-10-01T00:00:00","2025-10-15T00:00:00","83","4","74","77","0.08","0.765"
"SR-M003-202511","M003","2025-11-01","2025-11-01T00:00:00","2025-11-15T00:00:00","84","4","75","78","0.08","0.765"
"SR-M003-202512","M003","2025-12-01","2025-12-01T00:00:00","2025-12-15T00:00:00","85","4","76","79","0.08","0.765"
"SR-M003-202601","M003","2026-01-01","2026-01-01T00:00:00","2026-01-15T00:00:00","74","4","65","68","0.08","0.765"
"SR-M003-202602","M003","2026-02-01","2026-02-01T00:00:00","2026-02-15T00:00:00","75","4","66","69","0.08","0.765"
"SR-M003-202603","M003","2026-03-01","2026-03-01T00:00:00","2026-03-15T00:00:00","76","4","57","70","0.11","0.685"
"SR-M003-202604","M003","2026-04-01","2026-04-01T00:00:00","2026-04-15T00:00:00","77","4","58","71","0.11","0.685"
"SR-M003-202605","M003","2026-05-01","2026-05-01T00:00:00","2026-05-15T00:00:00","78","4","65","72","0.09","0.735"
"SR-M003-202606","M003","2026-06-01","2026-06-01T00:00:00","2026-06-15T00:00:00","79","4","66","73","0.09","0.735"
"SR-M004-202501","M004","2025-01-01","2025-01-01T00:00:00","2025-01-15T00:00:00","75","5","65","68","0.05","0.76"
"SR-M004-202502","M004","2025-02-01","2025-02-01T00:00:00","2025-02-15T00:00:00","76","5","66","69","0.05","0.76"
"SR-M004-202503","M004","2025-03-01","2025-03-01T00:00:00","2025-03-15T00:00:00","77","5","67","70","0.05","0.76"
"SR-M004-202504","M004","2025-04-01","2025-04-01T00:00:00","2025-04-15T00:00:00","78","5","68","71","0.05","0.76"
"SR-M004-202505","M004","2025-05-01","2025-05-01T00:00:00","2025-05-15T00:00:00","79","5","69","72","0.05","0.76"
"SR-M004-202506","M004","2025-06-01","2025-06-01T00:00:00","2025-06-15T00:00:00","80","5","70","73","0.05","0.76"
"SR-M004-202507","M004","2025-07-01","2025-07-01T00:00:00","2025-07-15T00:00:00","81","5","71","74","0.05","0.76"
"SR-M004-202508","M004","2025-08-01","2025-08-01T00:00:00","2025-08-15T00:00:00","82","5","72","75","0.05","0.76"
"SR-M004-202509","M004","2025-09-01","2025-09-01T00:00:00","2025-09-15T00:00:00","83","5","73","76","0.05","0.76"
"SR-M004-202510","M004","2025-10-01","2025-10-01T00:00:00","2025-10-15T00:00:00","84","5","74","77","0.05","0.76"
"SR-M004-202511","M004","2025-11-01","2025-11-01T00:00:00","2025-11-15T00:00:00","85","5","75","78","0.05","0.76"
"SR-M004-202512","M004","2025-12-01","2025-12-01T00:00:00","2025-12-15T00:00:00","86","5","76","79","0.05","0.76"
"SR-M004-202601","M004","2026-01-01","2026-01-01T00:00:00","2026-01-15T00:00:00","75","5","65","68","0.05","0.76"
"SR-M004-202602","M004","2026-02-01","2026-02-01T00:00:00","2026-02-15T00:00:00","76","5","66","69","0.05","0.76"
"SR-M004-202603","M004","2026-03-01","2026-03-01T00:00:00","2026-03-15T00:00:00","77","5","67","70","0.05","0.76"
"SR-M004-202604","M004","2026-04-01","2026-04-01T00:00:00","2026-04-15T00:00:00","78","5","68","71","0.05","0.76"
"SR-M004-202605","M004","2026-05-01","2026-05-01T00:00:00","2026-05-15T00:00:00","79","5","69","72","0.05","0.76"
"SR-M004-202606","M004","2026-06-01","2026-06-01T00:00:00","2026-06-15T00:00:00","80","5","70","73","0.05","0.76"
"SR-M005-202501","M005","2025-01-01","2025-01-01T00:00:00","2025-01-15T00:00:00","76","6","65","68","0.06","0.78"
"SR-M005-202502","M005","2025-02-01","2025-02-01T00:00:00","2025-02-15T00:00:00","77","6","66","69","0.06","0.78"
"SR-M005-202503","M005","2025-03-01","2025-03-01T00:00:00","2025-03-15T00:00:00","78","6","67","70","0.06","0.78"
"SR-M005-202504","M005","2025-04-01","2025-04-01T00:00:00","2025-04-15T00:00:00","79","6","68","71","0.06","0.78"
"SR-M005-202505","M005","2025-05-01","2025-05-01T00:00:00","2025-05-15T00:00:00","80","6","69","72","0.06","0.78"
"SR-M005-202506","M005","2025-06-01","2025-06-01T00:00:00","2025-06-15T00:00:00","81","6","70","73","0.06","0.78"
"SR-M005-202507","M005","2025-07-01","2025-07-01T00:00:00","2025-07-15T00:00:00","82","6","71","74","0.06","0.78"
"SR-M005-202508","M005","2025-08-01","2025-08-01T00:00:00","2025-08-15T00:00:00","83","6","72","75","0.06","0.78"
"SR-M005-202509","M005","2025-09-01","2025-09-01T00:00:00","2025-09-15T00:00:00","84","6","73","76","0.06","0.78"
"SR-M005-202510","M005","2025-10-01","2025-10-01T00:00:00","2025-10-15T00:00:00","85","6","74","77","0.06","0.78"
"SR-M005-202511","M005","2025-11-01","2025-11-01T00:00:00","2025-11-15T00:00:00","86","6","75","78","0.06","0.78"
"SR-M005-202512","M005","2025-12-01","2025-12-01T00:00:00","2025-12-15T00:00:00","87","6","76","79","0.06","0.78"
"SR-M005-202601","M005","2026-01-01","2026-01-01T00:00:00","2026-01-15T00:00:00","76","6","65","68","0.06","0.78"
"SR-M005-202602","M005","2026-02-01","2026-02-01T00:00:00","2026-02-15T00:00:00","77","6","66","69","0.06","0.78"
"SR-M005-202603","M005","2026-03-01","2026-03-01T00:00:00","2026-03-15T00:00:00","78","6","67","70","0.06","0.78"
"SR-M005-202604","M005","2026-04-01","2026-04-01T00:00:00","2026-04-15T00:00:00","79","6","68","71","0.06","0.78"
"SR-M005-202605","M005","2026-05-01","2026-05-01T00:00:00","2026-05-15T00:00:00","80","6","69","72","0.06","0.78"
"SR-M005-202606","M005","2026-06-01","2026-06-01T00:00:00","2026-06-15T00:00:00","81","6","70","73","0.06","0.78"
"SR-M006-202501","M006","2025-01-01","2025-01-01T00:00:00","2025-01-15T00:00:00","77","4","68","71","0.07","0.775"
"SR-M006-202502","M006","2025-02-01","2025-02-01T00:00:00","2025-02-15T00:00:00","78","4","69","72","0.07","0.775"
"SR-M006-202503","M006","2025-03-01","2025-03-01T00:00:00","2025-03-15T00:00:00","79","4","70","73","0.07","0.775"
"SR-M006-202504","M006","2025-04-01","2025-04-01T00:00:00","2025-04-15T00:00:00","80","4","71","74","0.07","0.775"
"SR-M006-202505","M006","2025-05-01","2025-05-01T00:00:00","2025-05-15T00:00:00","81","4","72","75","0.07","0.775"
"SR-M006-202506","M006","2025-06-01","2025-06-01T00:00:00","2025-06-15T00:00:00","82","4","73","76","0.07","0.775"
"SR-M006-202507","M006","2025-07-01","2025-07-01T00:00:00","2025-07-15T00:00:00","83","4","74","77","0.07","0.775"
"SR-M006-202508","M006","2025-08-01","2025-08-01T00:00:00","2025-08-15T00:00:00","84","4","75","78","0.07","0.775"
"SR-M006-202509","M006","2025-09-01","2025-09-01T00:00:00","2025-09-15T00:00:00","85","4","76","79","0.07","0.775"
"SR-M006-202510","M006","2025-10-01","2025-10-01T00:00:00","2025-10-15T00:00:00","86","4","77","80","0.07","0.775"
"SR-M006-202511","M006","2025-11-01","2025-11-01T00:00:00","2025-11-15T00:00:00","87","4","78","81","0.07","0.775"
"SR-M006-202512","M006","2025-12-01","2025-12-01T00:00:00","2025-12-15T00:00:00","88","4","79","82","0.07","0.775"
"SR-M006-202601","M006","2026-01-01","2026-01-01T00:00:00","2026-01-15T00:00:00","77","4","68","71","0.07","0.775"
"SR-M006-202602","M006","2026-02-01","2026-02-01T00:00:00","2026-02-15T00:00:00","78","4","69","72","0.07","0.775"
"SR-M006-202603","M006","2026-03-01","2026-03-01T00:00:00","2026-03-15T00:00:00","79","4","70","73","0.07","0.775"
"SR-M006-202604","M006","2026-04-01","2026-04-01T00:00:00","2026-04-15T00:00:00","80","4","71","74","0.07","0.775"
"SR-M006-202605","M006","2026-05-01","2026-05-01T00:00:00","2026-05-15T00:00:00","81","4","72","75","0.07","0.775"
"SR-M006-202606","M006","2026-06-01","2026-06-01T00:00:00","2026-06-15T00:00:00","82","4","73","76","0.07","0.775"
"SR-M007-202501","M007","2025-01-01","2025-01-01T00:00:00","2025-01-15T00:00:00","78","5","68","71","0.08","0.77"
"SR-M007-202502","M007","2025-02-01","2025-02-01T00:00:00","2025-02-15T00:00:00","79","5","69","72","0.08","0.77"
"SR-M007-202503","M007","2025-03-01","2025-03-01T00:00:00","2025-03-15T00:00:00","80","5","70","73","0.08","0.77"
"SR-M007-202504","M007","2025-04-01","2025-04-01T00:00:00","2025-04-15T00:00:00","81","5","71","74","0.08","0.77"
"SR-M007-202505","M007","2025-05-01","2025-05-01T00:00:00","2025-05-15T00:00:00","82","5","72","75","0.08","0.77"
"SR-M007-202506","M007","2025-06-01","2025-06-01T00:00:00","2025-06-15T00:00:00","83","5","73","76","0.08","0.77"
"SR-M007-202507","M007","2025-07-01","2025-07-01T00:00:00","2025-07-15T00:00:00","84","5","74","77","0.08","0.77"
"SR-M007-202508","M007","2025-08-01","2025-08-01T00:00:00","2025-08-15T00:00:00","85","5","75","78","0.08","0.77"
"SR-M007-202509","M007","2025-09-01","2025-09-01T00:00:00","2025-09-15T00:00:00","86","5","76","79","0.08","0.77"
"SR-M007-202510","M007","2025-10-01","2025-10-01T00:00:00","2025-10-15T00:00:00","87","5","77","80","0.08","0.77"
"SR-M007-202511","M007","2025-11-01","2025-11-01T00:00:00","2025-11-15T00:00:00","88","5","78","81","0.08","0.77"
"SR-M007-202512","M007","2025-12-01","2025-12-01T00:00:00","2025-12-15T00:00:00","89","5","79","82","0.08","0.77"
"SR-M007-202601","M007","2026-01-01","2026-01-01T00:00:00","2026-01-15T00:00:00","78","5","68","71","0.08","0.77"
"SR-M007-202602","M007","2026-02-01","2026-02-01T00:00:00","2026-02-15T00:00:00","79","5","69","72","0.08","0.77"
"SR-M007-202603","M007","2026-03-01","2026-03-01T00:00:00","2026-03-15T00:00:00","80","5","60","73","0.11","0.69"
"SR-M007-202604","M007","2026-04-01","2026-04-01T00:00:00","2026-04-15T00:00:00","81","5","61","74","0.11","0.69"
"SR-M007-202605","M007","2026-05-01","2026-05-01T00:00:00","2026-05-15T00:00:00","82","5","68","75","0.09","0.74"
"SR-M007-202606","M007","2026-06-01","2026-06-01T00:00:00","2026-06-15T00:00:00","83","5","69","76","0.09","0.74"
"SR-M008-202501","M008","2025-01-01","2025-01-01T00:00:00","2025-01-15T00:00:00","79","6","68","71","0.05","0.765"
"SR-M008-202502","M008","2025-02-01","2025-02-01T00:00:00","2025-02-15T00:00:00","80","6","69","72","0.05","0.765"
"SR-M008-202503","M008","2025-03-01","2025-03-01T00:00:00","2025-03-15T00:00:00","81","6","70","73","0.05","0.765"
"SR-M008-202504","M008","2025-04-01","2025-04-01T00:00:00","2025-04-15T00:00:00","82","6","71","74","0.05","0.765"
"SR-M008-202505","M008","2025-05-01","2025-05-01T00:00:00","2025-05-15T00:00:00","83","6","72","75","0.05","0.765"
"SR-M008-202506","M008","2025-06-01","2025-06-01T00:00:00","2025-06-15T00:00:00","84","6","73","76","0.05","0.765"
"SR-M008-202507","M008","2025-07-01","2025-07-01T00:00:00","2025-07-15T00:00:00","85","6","74","77","0.05","0.765"
"SR-M008-202508","M008","2025-08-01","2025-08-01T00:00:00","2025-08-15T00:00:00","86","6","75","78","0.05","0.765"
"SR-M008-202509","M008","2025-09-01","2025-09-01T00:00:00","2025-09-15T00:00:00","87","6","76","79","0.05","0.765"
"SR-M008-202510","M008","2025-10-01","2025-10-01T00:00:00","2025-10-15T00:00:00","88","6","77","80","0.05","0.765"
"SR-M008-202511","M008","2025-11-01","2025-11-01T00:00:00","2025-11-15T00:00:00","89","6","78","81","0.05","0.765"
"SR-M008-202512","M008","2025-12-01","2025-12-01T00:00:00","2025-12-15T00:00:00","90","6","79","82","0.05","0.765"
"SR-M008-202601","M008","2026-01-01","2026-01-01T00:00:00","2026-01-15T00:00:00","79","6","68","71","0.05","0.765"
"SR-M008-202602","M008","2026-02-01","2026-02-01T00:00:00","2026-02-15T00:00:00","80","6","69","72","0.05","0.765"
"SR-M008-202603","M008","2026-03-01","2026-03-01T00:00:00","2026-03-15T00:00:00","81","6","70","73","0.05","0.765"
"SR-M008-202604","M008","2026-04-01","2026-04-01T00:00:00","2026-04-15T00:00:00","82","6","71","74","0.05","0.765"
"SR-M008-202605","M008","2026-05-01","2026-05-01T00:00:00","2026-05-15T00:00:00","83","6","72","75","0.05","0.765"
"SR-M008-202606","M008","2026-06-01","2026-06-01T00:00:00","2026-06-15T00:00:00","84","6","73","76","0.05","0.765"
"SR-M009-202501","M009","2025-01-01","2025-01-01T00:00:00","2025-01-15T00:00:00","80","4","71","74","0.06","0.76"
"SR-M009-202502","M009","2025-02-01","2025-02-01T00:00:00","2025-02-15T00:00:00","81","4","72","75","0.06","0.76"
"SR-M009-202503","M009","2025-03-01","2025-03-01T00:00:00","2025-03-15T00:00:00","82","4","73","76","0.06","0.76"
"SR-M009-202504","M009","2025-04-01","2025-04-01T00:00:00","2025-04-15T00:00:00","83","4","74","77","0.06","0.76"
"SR-M009-202505","M009","2025-05-01","2025-05-01T00:00:00","2025-05-15T00:00:00","84","4","75","78","0.06","0.76"
"SR-M009-202506","M009","2025-06-01","2025-06-01T00:00:00","2025-06-15T00:00:00","85","4","76","79","0.06","0.76"
"SR-M009-202507","M009","2025-07-01","2025-07-01T00:00:00","2025-07-15T00:00:00","86","4","77","80","0.06","0.76"
"SR-M009-202508","M009","2025-08-01","2025-08-01T00:00:00","2025-08-15T00:00:00","87","4","78","81","0.06","0.76"
"SR-M009-202509","M009","2025-09-01","2025-09-01T00:00:00","2025-09-15T00:00:00","88","4","79","82","0.06","0.76"
"SR-M009-202510","M009","2025-10-01","2025-10-01T00:00:00","2025-10-15T00:00:00","89","4","80","83","0.06","0.76"
"SR-M009-202511","M009","2025-11-01","2025-11-01T00:00:00","2025-11-15T00:00:00","90","4","81","84","0.06","0.76"
"SR-M009-202512","M009","2025-12-01","2025-12-01T00:00:00","2025-12-15T00:00:00","91","4","82","85","0.06","0.76"
"SR-M009-202601","M009","2026-01-01","2026-01-01T00:00:00","2026-01-15T00:00:00","80","4","71","74","0.06","0.76"
"SR-M009-202602","M009","2026-02-01","2026-02-01T00:00:00","2026-02-15T00:00:00","81","4","72","75","0.06","0.76"
"SR-M009-202603","M009","2026-03-01","2026-03-01T00:00:00","2026-03-15T00:00:00","82","4","73","76","0.06","0.76"
"SR-M009-202604","M009","2026-04-01","2026-04-01T00:00:00","2026-04-15T00:00:00","83","4","74","77","0.06","0.76"
"SR-M009-202605","M009","2026-05-01","2026-05-01T00:00:00","2026-05-15T00:00:00","84","4","75","78","0.06","0.76"
"SR-M009-202606","M009","2026-06-01","2026-06-01T00:00:00","2026-06-15T00:00:00","85","4","76","79","0.06","0.76"
"SR-M010-202501","M010","2025-01-01","2025-01-01T00:00:00","2025-01-15T00:00:00","81","5","71","74","0.07","0.78"
"SR-M010-202502","M010","2025-02-01","2025-02-01T00:00:00","2025-02-15T00:00:00","82","5","72","75","0.07","0.78"
"SR-M010-202503","M010","2025-03-01","2025-03-01T00:00:00","2025-03-15T00:00:00","83","5","73","76","0.07","0.78"
"SR-M010-202504","M010","2025-04-01","2025-04-01T00:00:00","2025-04-15T00:00:00","84","5","74","77","0.07","0.78"
"SR-M010-202505","M010","2025-05-01","2025-05-01T00:00:00","2025-05-15T00:00:00","85","5","75","78","0.07","0.78"
"SR-M010-202506","M010","2025-06-01","2025-06-01T00:00:00","2025-06-15T00:00:00","86","5","76","79","0.07","0.78"
"SR-M010-202507","M010","2025-07-01","2025-07-01T00:00:00","2025-07-15T00:00:00","87","5","77","80","0.07","0.78"
"SR-M010-202508","M010","2025-08-01","2025-08-01T00:00:00","2025-08-15T00:00:00","88","5","78","81","0.07","0.78"
"SR-M010-202509","M010","2025-09-01","2025-09-01T00:00:00","2025-09-15T00:00:00","89","5","79","82","0.07","0.78"
"SR-M010-202510","M010","2025-10-01","2025-10-01T00:00:00","2025-10-15T00:00:00","90","5","80","83","0.07","0.78"
"SR-M010-202511","M010","2025-11-01","2025-11-01T00:00:00","2025-11-15T00:00:00","91","5","81","84","0.07","0.78"
"SR-M010-202512","M010","2025-12-01","2025-12-01T00:00:00","2025-12-15T00:00:00","92","5","82","85","0.07","0.78"
"SR-M010-202601","M010","2026-01-01","2026-01-01T00:00:00","2026-01-15T00:00:00","81","5","71","74","0.07","0.78"
"SR-M010-202602","M010","2026-02-01","2026-02-01T00:00:00","2026-02-15T00:00:00","82","5","72","75","0.07","0.78"
"SR-M010-202603","M010","2026-03-01","2026-03-01T00:00:00","2026-03-15T00:00:00","83","5","73","76","0.07","0.78"
"SR-M010-202604","M010","2026-04-01","2026-04-01T00:00:00","2026-04-15T00:00:00","84","5","74","77","0.07","0.78"
"SR-M010-202605","M010","2026-05-01","2026-05-01T00:00:00","2026-05-15T00:00:00","85","5","75","78","0.07","0.78"
"SR-M010-202606","M010","2026-06-01","2026-06-01T00:00:00","2026-06-15T00:00:00","86","5","76","79","0.07","0.78"
"SR-M011-202501","M011","2025-01-01","2025-01-01T00:00:00","2025-01-15T00:00:00","82","6","71","74","0.08","0.775"
"SR-M011-202502","M011","2025-02-01","2025-02-01T00:00:00","2025-02-15T00:00:00","83","6","72","75","0.08","0.775"
"SR-M011-202503","M011","2025-03-01","2025-03-01T00:00:00","2025-03-15T00:00:00","84","6","73","76","0.08","0.775"
"SR-M011-202504","M011","2025-04-01","2025-04-01T00:00:00","2025-04-15T00:00:00","85","6","74","77","0.08","0.775"
"SR-M011-202505","M011","2025-05-01","2025-05-01T00:00:00","2025-05-15T00:00:00","86","6","75","78","0.08","0.775"
"SR-M011-202506","M011","2025-06-01","2025-06-01T00:00:00","2025-06-15T00:00:00","87","6","76","79","0.08","0.775"
"SR-M011-202507","M011","2025-07-01","2025-07-01T00:00:00","2025-07-15T00:00:00","88","6","77","80","0.08","0.775"
"SR-M011-202508","M011","2025-08-01","2025-08-01T00:00:00","2025-08-15T00:00:00","89","6","78","81","0.08","0.775"
"SR-M011-202509","M011","2025-09-01","2025-09-01T00:00:00","2025-09-15T00:00:00","90","6","79","82","0.08","0.775"
"SR-M011-202510","M011","2025-10-01","2025-10-01T00:00:00","2025-10-15T00:00:00","91","6","80","83","0.08","0.775"
"SR-M011-202511","M011","2025-11-01","2025-11-01T00:00:00","2025-11-15T00:00:00","92","6","81","84","0.08","0.775"
"SR-M011-202512","M011","2025-12-01","2025-12-01T00:00:00","2025-12-15T00:00:00","93","6","82","85","0.08","0.775"
"SR-M011-202601","M011","2026-01-01","2026-01-01T00:00:00","2026-01-15T00:00:00","82","6","71","74","0.08","0.775"
"SR-M011-202602","M011","2026-02-01","2026-02-01T00:00:00","2026-02-15T00:00:00","83","6","72","75","0.08","0.775"
"SR-M011-202603","M011","2026-03-01","2026-03-01T00:00:00","2026-03-15T00:00:00","84","6","63","76","0.11","0.695"
"SR-M011-202604","M011","2026-04-01","2026-04-01T00:00:00","2026-04-15T00:00:00","85","6","64","77","0.11","0.695"
"SR-M011-202605","M011","2026-05-01","2026-05-01T00:00:00","2026-05-15T00:00:00","86","6","65","78","0.11","0.695"
"SR-M011-202606","M011","2026-06-01","2026-06-01T00:00:00","2026-06-15T00:00:00","87","6","66","79","0.11","0.695"
"SR-M012-202501","M012","2025-01-01","2025-01-01T00:00:00","2025-01-15T00:00:00","83","4","74","77","0.05","0.77"
"SR-M012-202502","M012","2025-02-01","2025-02-01T00:00:00","2025-02-15T00:00:00","84","4","75","78","0.05","0.77"
"SR-M012-202503","M012","2025-03-01","2025-03-01T00:00:00","2025-03-15T00:00:00","85","4","76","79","0.05","0.77"
"SR-M012-202504","M012","2025-04-01","2025-04-01T00:00:00","2025-04-15T00:00:00","86","4","77","80","0.05","0.77"
"SR-M012-202505","M012","2025-05-01","2025-05-01T00:00:00","2025-05-15T00:00:00","87","4","78","81","0.05","0.77"
"SR-M012-202506","M012","2025-06-01","2025-06-01T00:00:00","2025-06-15T00:00:00","88","4","79","82","0.05","0.77"
"SR-M012-202507","M012","2025-07-01","2025-07-01T00:00:00","2025-07-15T00:00:00","89","4","80","83","0.05","0.77"
"SR-M012-202508","M012","2025-08-01","2025-08-01T00:00:00","2025-08-15T00:00:00","90","4","81","84","0.05","0.77"
"SR-M012-202509","M012","2025-09-01","2025-09-01T00:00:00","2025-09-15T00:00:00","91","4","82","85","0.05","0.77"
"SR-M012-202510","M012","2025-10-01","2025-10-01T00:00:00","2025-10-15T00:00:00","92","4","83","86","0.05","0.77"
"SR-M012-202511","M012","2025-11-01","2025-11-01T00:00:00","2025-11-15T00:00:00","93","4","84","87","0.05","0.77"
"SR-M012-202512","M012","2025-12-01","2025-12-01T00:00:00","2025-12-15T00:00:00","94","4","85","88","0.05","0.77"
"SR-M012-202601","M012","2026-01-01","2026-01-01T00:00:00","2026-01-15T00:00:00","83","4","74","77","0.05","0.77"
"SR-M012-202602","M012","2026-02-01","2026-02-01T00:00:00","2026-02-15T00:00:00","84","4","75","78","0.05","0.77"
"SR-M012-202603","M012","2026-03-01","2026-03-01T00:00:00","2026-03-15T00:00:00","85","4","76","79","0.05","0.77"
"SR-M012-202604","M012","2026-04-01","2026-04-01T00:00:00","2026-04-15T00:00:00","86","4","77","80","0.05","0.77"
"SR-M012-202605","M012","2026-05-01","2026-05-01T00:00:00","2026-05-15T00:00:00","87","4","78","81","0.05","0.77"
"SR-M012-202606","M012","2026-06-01","2026-06-01T00:00:00","2026-06-15T00:00:00","88","4","79","82","0.05","0.77"
"SR-M013-202501","M013","2025-01-01","2025-01-01T00:00:00","2025-01-15T00:00:00","84","5","74","77","0.06","0.765"
"SR-M013-202502","M013","2025-02-01","2025-02-01T00:00:00","2025-02-15T00:00:00","85","5","75","78","0.06","0.765"
"SR-M013-202503","M013","2025-03-01","2025-03-01T00:00:00","2025-03-15T00:00:00","86","5","76","79","0.06","0.765"
