"case_id","municipality_id","month_start_date","opened_at","closed_at","cases_closed","cases_meeting_quality_bar","case_priority","quality_bar_met"
"CASE-M002-202501","M002","2025-01-01","2025-01-03T00:00:00","2025-01-19T00:00:00","14","12","normal","true"
"CASE-M002-202502","M002","2025-02-01","2025-02-03T00:00:00","2025-02-19T00:00:00","14","12","normal","true"
"CASE-M002-202503","M002","2025-03-01","2025-03-03T00:00:00","2025-03-19T00:00:00","14","12","normal","true"
"CASE-M002-202504","M002","2025-04-01","2025-04-03T00:00:00","2025-04-19T00:00:00","14","12","normal","true"
"CASE-M002-202505","M002","2025-05-01","2025-05-03T00:00:00","2025-05-19T00:00:00","14","12","normal","true"
"CASE-M002-202506","M002","2025-06-01","2025-06-03T00:00:00","2025-06-19T00:00:00","14","12","normal","true"
"CASE-M002-202507","M002","2025-07-01","2025-07-03T00:00:00","2025-07-19T00:00:00","14","12","normal","true"
"CASE-M002-202508","M002","2025-08-01","2025-08-03T00:00:00","2025-08-19T00:00:00","14","12","normal","true"
"CASE-M002-202509","M002","2025-09-01","2025-09-03T00:00:00","2025-09-19T00:00:00","14","12","normal","true"
"CASE-M002-202510","M002","2025-10-01","2025-10-03T00:00:00","2025-10-19T00:00:00","14","12","normal","true"
"CASE-M002-202511","M002","2025-11-01","2025-11-03T00:00:00","2025-11-19T00:00:00","14","12","normal","true"
"CASE-M002-202512","M002","2025-12-01","2025-12-03T00:00:00","2025-12-19T00:00:00","14","12","normal","true"
"CASE-M002-202601","M002","2026-01-01","2026-01-03T00:00:00","2026-01-19T00:00:00","14","12","normal","true"
"CASE-M002-202602","M002","2026-02-01","2026-02-03T00:00:00","2026-02-19T00:00:00","14","12","normal","true"
"CASE-M002-202603","M002","2026-03-01","2026-03-03T00:00:00","2026-03-19T00:00:00","14","12","normal","true"
"CASE-M002-202604","M002","2026-04-01","2026-04-03T00:00:00","2026-04-19T00:00:00","14","12","normal","true"
"CASE-M002-202605","M002","2026-05-01","2026-05-03T00:00:00","2026-05-19T00:00:00","14","12","normal","true"
"CASE-M002-202606","M002","2026-06-01","2026-06-03T00:00:00","2026-06-19T00:00:00","14","12","normal","true"
"CASE-M003-202501","M003","2025-01-01","2025-01-03T00:00:00","2025-01-19T00:00:00","15","13","normal","true"
"CASE-M003-202502","M003","2025-02-01","2025-02-03T00:00:00","2025-02-19T00:00:00","15","13","normal","true"
"CASE-M003-202503","M003","2025-03-01","2025-03-03T00:00:00","2025-03-19T00:00:00","15","13","normal","true"
"CASE-M003-202504","M003","2025-04-01","2025-04-03T00:00:00","2025-04-19T00:00:00","15","13","normal","true"
"CASE-M003-202505","M003","2025-05-01","2025-05-03T00:00:00","2025-05-19T00:00:00","15","13","normal","true"
"CASE-M003-202506","M003","2025-06-01","2025-06-03T00:00:00","2025-06-19T00:00:00","15","13","normal","true"
"CASE-M003-202507","M003","2025-07-01","2025-07-03T00:00:00","2025-07-19T00:00:00","15","13","normal","true"
"CASE-M003-202508","M003","2025-08-01","2025-08-03T00:00:00","2025-08-19T00:00:00","15","13","normal","true"
"CASE-M003-202509","M003","2025-09-01","2025-09-03T00:00:00","2025-09-19T00:00:00","15","13","normal","true"
"CASE-M003-202510","M003","2025-10-01","2025-10-03T00:00:00","2025-10-19T00:00:00","15","13","normal","true"
"CASE-M003-202511","M003","2025-11-01","2025-11-03T00:00:00","2025-11-19T00:00:00","15","13","normal","true"
"CASE-M003-202512","M003","2025-12-01","2025-12-03T00:00:00","2025-12-19T00:00:00","15","13","normal","true"
"CASE-M003-202601","M003","2026-01-01","2026-01-03T00:00:00","2026-01-19T00:00:00","15","13","normal","true"
"CASE-M003-202602","M003","2026-02-01","2026-02-03T00:00:00","2026-02-19T00:00:00","15","13","normal","true"
"CASE-M003-202603","M003","2026-03-01","2026-03-03T00:00:00","2026-03-19T00:00:00","15","10","high","false"
"CASE-M003-202604","M003","2026-04-01","2026-04-03T00:00:00","2026-04-19T00:00:00","15","10","high","false"
"CASE-M003-202605","M003","2026-05-01","2026-05-03T00:00:00","2026-05-19T00:00:00","15","12","high","false"
"CASE-M003-202606","M003","2026-06-01","2026-06-03T00:00:00","2026-06-19T00:00:00","15","12","high","false"
"CASE-M004-202501","M004","2025-01-01","2025-01-03T00:00:00","2025-01-19T00:00:00","16","14","normal","true"
"CASE-M004-202502","M004","2025-02-01","2025-02-03T00:00:00","2025-02-19T00:00:00","16","14","normal","true"
"CASE-M004-202503","M004","2025-03-01","2025-03-03T00:00:00","2025-03-19T00:00:00","16","14","normal","true"
"CASE-M004-202504","M004","2025-04-01","2025-04-03T00:00:00","2025-04-19T00:00:00","16","14","normal","true"
"CASE-M004-202505","M004","2025-05-01","2025-05-03T00:00:00","2025-05-19T00:00:00","16","14","normal","true"
"CASE-M004-202506","M004","2025-06-01","2025-06-03T00:00:00","2025-06-19T00:00:00","16","14","normal","true"
"CASE-M004-202507","M004","2025-07-01","2025-07-03T00:00:00","2025-07-19T00:00:00","16","14","normal","true"
"CASE-M004-202508","M004","2025-08-01","2025-08-03T00:00:00","2025-08-19T00:00:00","16","14","normal","true"
"CASE-M004-202509","M004","2025-09-01","2025-09-03T00:00:00","2025-09-19T00:00:00","16","14","normal","true"
"CASE-M004-202510","M004","2025-10-01","2025-10-03T00:00:00","2025-10-19T00:00:00","16","14","normal","true"
"CASE-M004-202511","M004","2025-11-01","2025-11-03T00:00:00","2025-11-19T00:00:00","16","14","normal","true"
"CASE-M004-202512","M004","2025-12-01","2025-12-03T00:00:00","2025-12-19T00:00:00","16","14","normal","true"
"CASE-M004-202601","M004","2026-01-01","2026-01-03T00:00:00","2026-01-19T00:00:00","16","14","normal","true"
"CASE-M004-202602","M004","2026-02-01","2026-02-03T00:00:00","2026-02-19T00:00:00","16","14","normal","true"
"CASE-M004-202603","M004","2026-03-01","2026-03-03T00:00:00","2026-03-19T00:00:00","16","14","normal","true"
"CASE-M004-202604","M004","2026-04-01","2026-04-03T00:00:00","2026-04-19T00:00:00","16","14","normal","true"
"CASE-M004-202605","M004","2026-05-01","2026-05-03T00:00:00","2026-05-19T00:00:00","16","14","normal","true"
"CASE-M004-202606","M004","2026-06-01","2026-06-03T00:00:00","2026-06-19T00:00:00","16","14","normal","true"
"CASE-M005-202501","M005","2025-01-01","2025-01-03T00:00:00","2025-01-19T00:00:00","12","10","normal","false"
"CASE-M005-202502","M005","2025-02-01","2025-02-03T00:00:00","2025-02-19T00:00:00","12","10","normal","false"
"CASE-M005-202503","M005","2025-03-01","2025-03-03T00:00:00","2025-03-19T00:00:00","12","10","normal","false"
"CASE-M005-202504","M005","2025-04-01","2025-04-03T00:00:00","2025-04-19T00:00:00","12","10","normal","false"
"CASE-M005-202505","M005","2025-05-01","2025-05-03T00:00:00","2025-05-19T00:00:00","12","10","normal","false"
"CASE-M005-202506","M005","2025-06-01","2025-06-03T00:00:00","2025-06-19T00:00:00","12","10","normal","false"
"CASE-M005-202507","M005","2025-07-01","2025-07-03T00:00:00","2025-07-19T00:00:00","12","10","normal","false"
"CASE-M005-202508","M005","2025-08-01","2025-08-03T00:00:00","2025-08-19T00:00:00","12","10","normal","false"
"CASE-M005-202509","M005","2025-09-01","2025-09-03T00:00:00","2025-09-19T00:00:00","12","10","normal","false"
"CASE-M005-202510","M005","2025-10-01","2025-10-03T00:00:00","2025-10-19T00:00:00","12","10","normal","false"
"CASE-M005-202511","M005","2025-11-01","2025-11-03T00:00:00","2025-11-19T00:00:00","12","10","normal","false"
"CASE-M005-202512","M005","2025-12-01","2025-12-03T00:00:00","2025-12-19T00:00:00","12","10","normal","false"
"CASE-M005-202601","M005","2026-01-01","2026-01-03T00:00:00","2026-01-19T00:00:00","12","10","normal","false"
"CASE-M005-202602","M005","2026-02-01","2026-02-03T00:00:00","2026-02-19T00:00:00","12","10","normal","false"
"CASE-M005-202603","M005","2026-03-01","2026-03-03T00:00:00","2026-03-19T00:00:00","12","10","normal","false"
"CASE-M005-202604","M005","2026-04-01","2026-04-03T00:00:00","2026-04-19T00:00:00","12","10","normal","false"
"CASE-M005-202605","M005","2026-05-01","2026-05-03T00:00:00","2026-05-19T00:00:00","12","10","normal","false"
"CASE-M005-202606","M005","2026-06-01","2026-06-03T00:00:00","2026-06-19T00:00:00","12","10","normal","false"
"CASE-M006-202501","M006","2025-01-01","2025-01-03T00:00:00","2025-01-19T00:00:00","13","11","normal","false"
"CASE-M006-202502","M006","2025-02-01","2025-02-03T00:00:00","2025-02-19T00:00:00","13","11","normal","false"
"CASE-M006-202503","M006","2025-03-01","2025-03-03T00:00:00","2025-03-19T00:00:00","13","11","normal","false"
"CASE-M006-202504","M006","2025-04-01","2025-04-03T00:00:00","2025-04-19T00:00:00","13","11","normal","false"
"CASE-M006-202505","M006","2025-05-01","2025-05-03T00:00:00","2025-05-19T00:00:00","13","11","normal","false"
"CASE-M006-202506","M006","2025-06-01","2025-06-03T00:00:00","2025-06-19T00:00:00","13","11","normal","false"
"CASE-M006-202507","M006","2025-07-01","2025-07-03T00:00:00","2025-07-19T00:00:00","13","11","normal","false"
"CASE-M006-202508","M006","2025-08-01","2025-08-03T00:00:00","2025-08-19T00:00:00","13","11","normal","false"
"CASE-M006-202509","M006","2025-09-01","2025-09-03T00:00:00","2025-09-19T00:00:00","13","11","normal","false"
"CASE-M006-202510","M006","2025-10-01","2025-10-03T00:00:00","2025-10-19T00:00:00","13","11","normal","false"
"CASE-M006-202511","M006","2025-11-01","2025-11-03T00:00:00","2025-11-19T00:00:00","13","11","normal","false"
"CASE-M006-202512","M006","2025-12-01","2025-12-03T00:00:00","2025-12-19T00:00:00","13","11","normal","false"
"CASE-M006-202601","M006","2026-01-01","2026-01-03T00:00:00","2026-01-19T00:00:00","13","11","normal","false"
"CASE-M006-202602","M006","2026-02-01","2026-02-03T00:00:00","2026-02-19T00:00:00","13","11","normal","false"
"CASE-M006-202603","M006","2026-03-01","2026-03-03T00:00:00","2026-03-19T00:00:00","13","11","normal","false"
"CASE-M006-202604","M006","2026-04-01","2026-04-03T00:00:00","2026-04-19T00:00:00","13","11","normal","false"
"CASE-M006-202605","M006","2026-05-01","2026-05-03T00:00:00","2026-05-19T00:00:00","13","11","normal","false"
"CASE-M006-202606","M006","2026-06-01","2026-06-03T00:00:00","2026-06-19T00:00:00","13","11","normal","false"
"CASE-M007-202501","M007","2025-01-01","2025-01-03T00:00:00","2025-01-19T00:00:00","14","12","normal","true"
"CASE-M007-202502","M007","2025-02-01","2025-02-03T00:00:00","2025-02-19T00:00:00","14","12","normal","true"
"CASE-M007-202503","M007","2025-03-01","2025-03-03T00:00:00","2025-03-19T00:00:00","14","12","normal","true"
"CASE-M007-202504","M007","2025-04-01","2025-04-03T00:00:00","2025-04-19T00:00:00","14","12","normal","true"
"CASE-M007-202505","M007","2025-05-01","2025-05-03T00:00:00","2025-05-19T00:00:00","14","12","normal","true"
"CASE-M007-202506","M007","2025-06-01","2025-06-03T00:00:00","2025-06-19T00:00:00","14","12","normal","true"
"CASE-M007-202507","M007","2025-07-01","2025-07-03T00:00:00","2025-07-19T00:00:00","14","12","normal","true"
"CASE-M007-202508","M007","2025-08-01","2025-08-03T00:00:00","2025-08-19T00:00:00","14","12","normal","true"
"CASE-M007-202509","M007","2025-09-01","2025-09-03T00:00:00","2025-09-19T00:00:00","14","12","normal","true"
"CASE-M007-202510","M007","2025-10-01","2025-10-03T00:00:00","2025-10-19T00:00:00","14","12","normal","true"
"CASE-M007-202511","M007","2025-11-01","2025-11-03T00:00:00","2025-11-19T00:00:00","14","12","normal","true"
"CASE-M007-202512","M007","2025-12-01","2025-12-03T00:00:00","2025-12-19T00:00:00","14","12","normal","true"
"CASE-M007-202601","M007","2026-01-01","2026-01-03T00:00:00","2026-01-19T00:00:00","14","12","normal","true"
"CASE-M007-202602","M007","2026-02-01","2026-02-03T00:00:00","2026-02-19T00:00:00","14","12","normal","true"
"CASE-M007-202603","M007","2026-03-01","2026-03-03T00:00:00","2026-03-19T00:00:00","14","9","high","false"
"CASE-M007-202604","M007","2026-04-01","2026-04-03T00:00:00","2026-04-19T00:00:00","14","9","high","false"
"CASE-M007-202605","M007","2026-05-01","2026-05-03T00:00:00","2026-05-19T00:00:00","14","11","high","false"
"CASE-M007-202606","M007","2026-06-01","2026-06-03T00:00:00","2026-06-19T00:00:00","14","11","high","false"
"CASE-M008-202501","M008","2025-01-01","2025-01-03T00:00:00","2025-01-19T00:00:00","15","13","normal","true"
"CASE-M008-202502","M008","2025-02-01","2025-02-03T00:00:00","2025-02-19T00:00:00","15","13","normal","true"
"CASE-M008-202503","M008","2025-03-01","2025-03-03T00:00:00","2025-03-19T00:00:00","15","13","normal","true"
"CASE-M008-202504","M008","2025-04-01","2025-04-03T00:00:00","2025-04-19T00:00:00","15","13","normal","true"
"CASE-M008-202505","M008","2025-05-01","2025-05-03T00:00:00","2025-05-19T00:00:00","15","13","normal","true"
"CASE-M008-202506","M008","2025-06-01","2025-06-03T00:00:00","2025-06-19T00:00:00","15","13","normal","true"
"CASE-M008-202507","M008","2025-07-01","2025-07-03T00:00:00","2025-07-19T00:00:00","15","13","normal","true"
"CASE-M008-202508","M008","2025-08-01","2025-08-03T00:00:00","2025-08-19T00:00:00","15","13","normal","true"
"CASE-M008-202509","M008","2025-09-01","2025-09-03T00:00:00","2025-09-19T00:00:00","15","13","normal","true"
"CASE-M008-202510","M008","2025-10-01","2025-10-03T00:00:00","2025-10-19T00:00:00","15","13","normal","true"
"CASE-M008-202511","M008","2025-11-01","2025-11-03T00:00:00","2025-11-19T00:00:00","15","13","normal","true"
"CASE-M008-202512","M008","2025-12-01","2025-12-03T00:00:00","2025-12-19T00:00:00","15","13","normal","true"
"CASE-M008-202601","M008","2026-01-01","2026-01-03T00:00:00","2026-01-19T00:00:00","15","13","normal","true"
"CASE-M008-202602","M008","2026-02-01","2026-02-03T00:00:00","2026-02-19T00:00:00","15","13","normal","true"
"CASE-M008-202603","M008","2026-03-01","2026-03-03T00:00:00","2026-03-19T00:00:00","15","13","normal","true"
"CASE-M008-202604","M008","2026-04-01","2026-04-03T00:00:00","2026-04-19T00:00:00","15","13","normal","true"
"CASE-M008-202605","M008","2026-05-01","2026-05-03T00:00:00","2026-05-19T00:00:00","15","13","normal","true"
"CASE-M008-202606","M008","2026-06-01","2026-06-03T00:00:00","2026-06-19T00:00:00","15","13","normal","true"
"CASE-M009-202501","M009","2025-01-01","2025-01-03T00:00:00","2025-01-19T00:00:00","16","14","normal","true"
"CASE-M009-202502","M009","2025-02-01","2025-02-03T00:00:00","2025-02-19T00:00:00","16","14","normal","true"
"CASE-M009-202503","M009","2025-03-01","2025-03-03T00:00:00","2025-03-19T00:00:00","16","14","normal","true"
"CASE-M009-202504","M009","2025-04-01","2025-04-03T00:00:00","2025-04-19T00:00:00","16","14","normal","true"
"CASE-M009-202505","M009","2025-05-01","2025-05-03T00:00:00","2025-05-19T00:00:00","16","14","normal","true"
"CASE-M009-202506","M009","2025-06-01","2025-06-03T00:00:00","2025-06-19T00:00:00","16","14","normal","true"
"CASE-M009-202507","M009","2025-07-01","2025-07-03T00:00:00","2025-07-19T00:00:00","16","14","normal","true"
"CASE-M009-202508","M009","2025-08-01","2025-08-03T00:00:00","2025-08-19T00:00:00","16","14","normal","true"
"CASE-M009-202509","M009","2025-09-01","2025-09-03T00:00:00","2025-09-19T00:00:00","16","14","normal","true"
"CASE-M009-202510","M009","2025-10-01","2025-10-03T00:00:00","2025-10-19T00:00:00","16","14","normal","true"
"CASE-M009-202511","M009","2025-11-01","2025-11-03T00:00:00","2025-11-19T00:00:00","16","14","normal","true"
"CASE-M009-202512","M009","2025-12-01","2025-12-03T00:00:00","2025-12-19T00:00:00","16","14","normal","true"
"CASE-M009-202601","M009","2026-01-01","2026-01-03T00:00:00","2026-01-19T00:00:00","16","14","normal","true"
"CASE-M009-202602","M009","2026-02-01","2026-02-03T00:00:00","2026-02-19T00:00:00","16","14","normal","true"
"CASE-M009-202603","M009","2026-03-01","2026-03-03T00:00:00","2026-03-19T00:00:00","16","14","normal","true"
"CASE-M009-202604","M009","2026-04-01","2026-04-03T00:00:00","2026-04-19T00:00:00","16","14","normal","true"
"CASE-M009-202605","M009","2026-05-01","2026-05-03T00:00:00","2026-05-19T00:00:00","16","14","normal","true"
"CASE-M009-202606","M009","2026-06-01","2026-06-03T00:00:00","2026-06-19T00:00:00","16","14","normal","true"
"CASE-M010-202501","M010","2025-01-01","2025-01-03T00:00:00","2025-01-19T00:00:00","12","10","normal","false"
"CASE-M010-202502","M010","2025-02-01","2025-02-03T00:00:00","2025-02-19T00:00:00","12","10","normal","false"
"CASE-M010-202503","M010","2025-03-01","2025-03-03T00:00:00","2025-03-19T00:00:00","12","10","normal","false"
"CASE-M010-202504","M010","2025-04-01","2025-04-03T00:00:00","2025-04-19T00:00:00","12","10","normal","false"
"CASE-M010-202505","M010","2025-05-01","2025-05-03T00:00:00","2025-05-19T00:00:00","12","10","normal","false"
"CASE-M010-202506","M010","2025-06-01","2025-06-03T00:00:00","2025-06-19T00:00:00","12","10","normal","false"
"CASE-M010-202507","M010","2025-07-01","2025-07-03T00:00:00","2025-07-19T00:00:00","12","10","normal","false"
"CASE-M010-202508","M010","2025-08-01","2025-08-03T00:00:00","2025-08-19T00:00:00","12","10","normal","false"
"CASE-M010-202509","M010","2025-09-01","2025-09-03T00:00:00","2025-09-19T00:00:00","12","10","normal","false"
"CASE-M010-202510","M010","2025-10-01","2025-10-03T00:00:00","2025-10-19T00:00:00","12","10","normal","false"
"CASE-M010-202511","M010","2025-11-01","2025-11-03T00:00:00","2025-11-19T00:00:00","12","10","normal","false"
"CASE-M010-202512","M010","2025-12-01","2025-12-03T00:00:00","2025-12-19T00:00:00","12","10","normal","false"
"CASE-M010-202601","M010","2026-01-01","2026-01-03T00:00:00","2026-01-19T00:00:00","12","10","normal","false"
"CASE-M010-202602","M010","2026-02-01","2026-02-03T00:00:00","2026-02-19T00:00:00","12","10","normal","false"
"CASE-M010-202603","M010","2026-03-01","2026-03-03T00:00:00","2026-03-19T00:00:00","12","10","normal","false"
"CASE-M010-202604","M010","2026-04-01","2026-04-03T00:00:00","2026-04-19T00:00:00","12","10","normal","false"
"CASE-M010-202605","M010","2026-05-01","2026-05-03T00:00:00","2026-05-19T00:00:00","12","10","normal","false"
"CASE-M010-202606","M010","2026-06-01","2026-06-03T00:00:00","2026-06-19T00:00:00","12","10","normal","false"
"CASE-M011-202501","M011","2025-01-01","2025-01-03T00:00:00","2025-01-19T00:00:00","13","11","normal","false"
"CASE-M011-202502","M011","2025-02-01","2025-02-03T00:00:00","2025-02-19T00:00:00","13","11","normal","false"
"CASE-M011-202503","M011","2025-03-01","2025-03-03T00:00:00","2025-03-19T00:00:00","13","11","normal","false"
"CASE-M011-202504","M011","2025-04-01","2025-04-03T00:00:00","2025-04-19T00:00:00","13","11","normal","false"
"CASE-M011-202505","M011","2025-05-01","2025-05-03T00:00:00","2025-05-19T00:00:00","13","11","normal","false"
"CASE-M011-202506","M011","2025-06-01","2025-06-03T00:00:00","2025-06-19T00:00:00","13","11","normal","false"
"CASE-M011-202507","M011","2025-07-01","2025-07-03T00:00:00","2025-07-19T00:00:00","13","11","normal","false"
"CASE-M011-202508","M011","2025-08-01","2025-08-03T00:00:00","2025-08-19T00:00:00","13","11","normal","false"
"CASE-M011-202509","M011","2025-09-01","2025-09-03T00:00:00","2025-09-19T00:00:00","13","11","normal","false"
"CASE-M011-202510","M011","2025-10-01","2025-10-03T00:00:00","2025-10-19T00:00:00","13","11","normal","false"
"CASE-M011-202511","M011","2025-11-01","2025-11-03T00:00:00","2025-11-19T00:00:00","13","11","normal","false"
"CASE-M011-202512","M011","2025-12-01","2025-12-03T00:00:00","2025-12-19T00:00:00","13","11","normal","false"
"CASE-M011-202601","M011","2026-01-01","2026-01-03T00:00:00","2026-01-19T00:00:00","13","11","normal","false"
"CASE-M011-202602","M011","2026-02-01","2026-02-03T00:00:00","2026-02-19T00:00:00","13","11","normal","false"
"CASE-M011-202603","M011","2026-03-01","2026-03-03T00:00:00","2026-03-19T00:00:00","13","8","high","false"
"CASE-M011-202604","M011","2026-04-01","2026-04-03T00:00:00","2026-04-19T00:00:00","13","8","high","false"
"CASE-M011-202605","M011","2026-05-01","2026-05-03T00:00:00","2026-05-19T00:00:00","13","8","high","false"
"CASE-M011-202606","M011","2026-06-01","2026-06-03T00:00:00","2026-06-19T00:00:00","13","8","high","false"
"CASE-M012-202501","M012","2025-01-01","2025-01-03T00:00:00","2025-01-19T00:00:00","14","12","normal","true"
"CASE-M012-202502","M012","2025-02-01","2025-02-03T00:00:00","2025-02-19T00:00:00","14","12","normal","true"
"CASE-M012-202503","M012","2025-03-01","2025-03-03T00:00:00","2025-03-19T00:00:00","14","12","normal","true"
"CASE-M012-202504","M012","2025-04-01","2025-04-03T00:00:00","2025-04-19T00:00:00","14","12","normal","true"
"CASE-M012-202505","M012","2025-05-01","2025-05-03T00:00:00","2025-05-19T00:00:00","14","12","normal","true"
"CASE-M012-202506","M012","2025-06-01","2025-06-03T00:00:00","2025-06-19T00:00:00","14","12","normal","true"
"CASE-M012-202507","M012","2025-07-01","2025-07-03T00:00:00","2025-07-19T00:00:00","14","12","normal","true"
"CASE-M012-202508","M012","2025-08-01","2025-08-03T00:00:00","2025-08-19T00:00:00","14","12","normal","true"
"CASE-M012-202509","M012","2025-09-01","2025-09-03T00:00:00","2025-09-19T00:00:00","14","12","normal","true"
"CASE-M012-202510","M012","2025-10-01","2025-10-03T00:00:00","2025-10-19T00:00:00","14","12","normal","true"
"CASE-M012-202511","M012","2025-11-01","2025-11-03T00:00:00","2025-11-19T00:00:00","14","12","normal","true"
"CASE-M012-202512","M012","2025-12-01","2025-12-03T00:00:00","2025-12-19T00:00:00","14","12","normal","true"
"CASE-M012-202601","M012","2026-01-01","2026-01-03T00:00:00","2026-01-19T00:00:00","14","12","normal","true"
"CASE-M012-202602","M012","2026-02-01","2026-02-03T00:00:00","2026-02-19T00:00:00","14","12","normal","true"
"CASE-M012-202603","M012","2026-03-01","2026-03-03T00:00:00","2026-03-19T00:00:00","14","12","normal","true"
"CASE-M012-202604","M012","2026-04-01","2026-04-03T00:00:00","2026-04-19T00:00:00","14","12","normal","true"
"CASE-M012-202605","M012","2026-05-01","2026-05-03T00:00:00","2026-05-19T00:00:00","14","12","normal","true"
"CASE-M012-202606","M012","2026-06-01","2026-06-03T00:00:00","2026-06-19T00:00:00","14","12","normal","true"
"CASE-M013-202501","M013","2025-01-01","2025-01-03T00:00:00","2025-01-19T00:00:00","15","13","normal","true"
"CASE-M013-202502","M013","2025-02-01","2025-02-03T00:00:00","2025-02-19T00:00:00","15","13","normal","true"
"CASE-M013-202503","M013","2025-03-01","2025-03-03T00:00:00","2025-03-19T00:00:00","15","13","normal","true"
"CASE-M013-202504","M013","2025-04-01","2025-04-03T00:00:00","2025-04-19T00:00:00","15","13","normal","true"
"CASE-M013-202505","M013","2025-05-01","2025-05-03T00:00:00","2025-05-19T00:00:00","15","13","normal","true"
"CASE-M013-202506","M013","2025-06-01","2025-06-03T00:00:00","2025-06-19T00:00:00","15","13","normal","true"
"CASE-M013-202507","M013","2025-07-01","2025-07-03T00:00:00","2025-07-19T00:00:00","15","13","normal","true"
"CASE-M013-202508","M013","2025-08-01","2025-08-03T00:00:00","2025-08-19T00:00:00","15","13","normal","true"
"CASE-M013-202509","M013","2025-09-01","2025-09-03T00:00:00","2025-09-19T00:00:00","15","13","normal","true"
"CASE-M013-202510","M013","2025-10-01","2025-10-03T00:00:00","2025-10-19T00:00:00","15","13","normal","true"
"CASE-M013-202511","M013","2025-11-01","2025-11-03T00:00:00","2025-11-19T00:00:00","15","13","normal","true"
"CASE-M013-202512","M013","2025-12-01","2025-12-03T00:00:00","2025-12-19T00:00:00","15","13","normal","true"
"CASE-M013-202601","M013","2026-01-01","2026-01-03T00:00:00","2026-01-19T00:00:00","15","13","normal","true"
"CASE-M013-202602","M013","2026-02-01","2026-02-03T00:00:00","2026-02-19T00:00:00","15","13","normal","true"
"CASE-M013-202603","M013","2026-03-01","2026-03-03T00:00:00","2026-03-19T00:00:00","15","13","normal","true"
"CASE-M013-202604","M013","2026-04-01","2026-04-03T00:00:00","2026-04-19T00:00:00","15","13","normal","true"
"CASE-M013-202605","M013","2026-05-01","2026-05-03T00:00:00","2026-05-19T00:00:00","15","13","normal","true"
"CASE-M013-202606","M013","2026-06-01","2026-06-03T00:00:00","2026-06-19T00:00:00","15","13","normal","true"
"CASE-M014-202501","M014","2025-01-01","2025-01-03T00:00:00","2025-01-19T00:00:00","16","14","normal","true"
"CASE-M014-202502","M014","2025-02-01","2025-02-03T00:00:00","2025-02-19T00:00:00","16","14","normal","true"
"CASE-M014-202503","M014","2025-03-01","2025-03-03T00:00:00","2025-03-19T00:00:00","16","14","normal","true"
"CASE-M014-202504","M014","2025-04-01","2025-04-03T00:00:00","2025-04-19T00:00:00","16","14","normal","true"
"CASE-M014-202505","M014","2025-05-01","2025-05-03T00:00:00","2025-05-19T00:00:00","16","14","normal","true"
"CASE-M014-202506","M014","2025-06-01","2025-06-03T00:00:00","2025-06-19T00:00:00","16","14","normal","true"
"CASE-M014-202507","M014","2025-07-01","2025-07-03T00:00:00","2025-07-19T00:00:00","16","14","normal","true"
"CASE-M014-202508","M014","2025-08-01","2025-08-03T00:00:00","2025-08-19T00:00:00","16","14","normal","true"
"CASE-M014-202509","M014","2025-09-01","2025-09-03T00:00:00","2025-09-19T00:00:00","16","14","normal","true"
