"asset_record_id","municipality_id","month_start_date","covered_population","total_population"
"COV-M005-202601","M005","2026-01-01","74576","79000"
"COV-M005-202602","M005","2026-02-01","74576","79000"
"COV-M005-202603","M005","2026-03-01","74576","79000"
"COV-M005-202604","M005","2026-04-01","74576","79000"
"COV-M005-202605","M005","2026-05-01","74576","79000"
"COV-M005-202606","M005","2026-06-01","74576","79000"
"COV-M006-202501","M006","2025-01-01","80940","85200"
"COV-M006-202502","M006","2025-02-01","80940","85200"
"COV-M006-202503","M006","2025-03-01","80940","85200"
"COV-M006-202504","M006","2025-04-01","80940","85200"
"COV-M006-202505","M006","2025-05-01","80940","85200"
"COV-M006-202506","M006","2025-06-01","80940","85200"
"COV-M006-202507","M006","2025-07-01","80940","85200"
"COV-M006-202508","M006","2025-08-01","80940","85200"
"COV-M006-202509","M006","2025-09-01","80940","85200"
"COV-M006-202510","M006","2025-10-01","80940","85200"
"COV-M006-202511","M006","2025-11-01","80940","85200"
"COV-M006-202512","M006","2025-12-01","80940","85200"
"COV-M006-202601","M006","2026-01-01","80940","85200"
"COV-M006-202602","M006","2026-02-01","80940","85200"
"COV-M006-202603","M006","2026-03-01","80940","85200"
"COV-M006-202604","M006","2026-04-01","80940","85200"
"COV-M006-202605","M006","2026-05-01","80940","85200"
"COV-M006-202606","M006","2026-06-01","80940","85200"
"COV-M007-202501","M007","2025-01-01","86556","91400"
"COV-M007-202502","M007","2025-02-01","86556","91400"
"COV-M007-202503","M007","2025-03-01","86556","91400"
"COV-M007-202504","M007","2025-04-01","86556","91400"
"COV-M007-202505","M007","2025-05-01","86556","91400"
"COV-M007-202506","M007","2025-06-01","86556","91400"
"COV-M007-202507","M007","2025-07-01","86556","91400"
"COV-M007-202508","M007","2025-08-01","86556","91400"
"COV-M007-202509","M007","2025-09-01","86556","91400"
"COV-M007-202510","M007","2025-10-01","86556","91400"
"COV-M007-202511","M007","2025-11-01","86556","91400"
"COV-M007-202512","M007","2025-12-01","86556","91400"
"COV-M007-202601","M007","2026-01-01","86556","91400"
"COV-M007-202602","M007","2026-02-01","86556","91400"
"COV-M007-202603","M007","2026-03-01","81986","91400"
"COV-M007-202604","M007","2026-04-01","81986","91400"
"COV-M007-202605","M007","2026-05-01","84728","91400"
"COV-M007-202606","M007","2026-06-01","84728","91400"
"COV-M008-202501","M008","2025-01-01","92134","97600"
"COV-M008-202502","M008","2025-02-01","92134","97600"
"COV-M008-202503","M008","2025-03-01","92134","97600"
"COV-M008-202504","M008","2025-04-01","92134","97600"
"COV-M008-202505","M008","2025-05-01","92134","97600"
"COV-M008-202506","M008","2025-06-01","92134","97600"
"COV-M008-202507","M008","2025-07-01","92134","97600"
"COV-M008-202508","M008","2025-08-01","92134","97600"
"COV-M008-202509","M008","2025-09-01","92134","97600"
"COV-M008-202510","M008","2025-10-01","92134","97600"
"COV-M008-202511","M008","2025-11-01","92134","97600"
"COV-M008-202512","M008","2025-12-01","92134","97600"
"COV-M008-202601","M008","2026-01-01","92134","97600"
"COV-M008-202602","M008","2026-02-01","92134","97600"
"COV-M008-202603","M008","2026-03-01","92134","97600"
"COV-M008-202604","M008","2026-04-01","92134","97600"
"COV-M008-202605","M008","2026-05-01","92134","97600"
"COV-M008-202606","M008","2026-06-01","92134","97600"
"COV-M009-202501","M009","2025-01-01","98610","103800"
"COV-M009-202502","M009","2025-02-01","98610","103800"
"COV-M009-202503","M009","2025-03-01","98610","103800"
"COV-M009-202504","M009","2025-04-01","98610","103800"
"COV-M009-202505","M009","2025-05-01","98610","103800"
"COV-M009-202506","M009","2025-06-01","98610","103800"
"COV-M009-202507","M009","2025-07-01","98610","103800"
"COV-M009-202508","M009","2025-08-01","98610","103800"
"COV-M009-202509","M009","2025-09-01","98610","103800"
"COV-M009-202510","M009","2025-10-01","98610","103800"
"COV-M009-202511","M009","2025-11-01","98610","103800"
"COV-M009-202512","M009","2025-12-01","98610","103800"
"COV-M009-202601","M009","2026-01-01","98610","103800"
"COV-M009-202602","M009","2026-02-01","98610","103800"
"COV-M009-202603","M009","2026-03-01","98610","103800"
"COV-M009-202604","M009","2026-04-01","98610","103800"
"COV-M009-202605","M009","2026-05-01","98610","103800"
"COV-M009-202606","M009","2026-06-01","98610","103800"
"COV-M010-202501","M010","2025-01-01","104170","110000"
"COV-M010-202502","M010","2025-02-01","104170","110000"
"COV-M010-202503","M010","2025-03-01","104170","110000"
"COV-M010-202504","M010","2025-04-01","104170","110000"
"COV-M010-202505","M010","2025-05-01","104170","110000"
"COV-M010-202506","M010","2025-06-01","104170","110000"
"COV-M010-202507","M010","2025-07-01","104170","110000"
"COV-M010-202508","M010","2025-08-01","104170","110000"
"COV-M010-202509","M010","2025-09-01","104170","110000"
"COV-M010-202510","M010","2025-10-01","104170","110000"
"COV-M010-202511","M010","2025-11-01","104170","110000"
"COV-M010-202512","M010","2025-12-01","104170","110000"
"COV-M010-202601","M010","2026-01-01","104170","110000"
"COV-M010-202602","M010","2026-02-01","104170","110000"
"COV-M010-202603","M010","2026-03-01","104170","110000"
"COV-M010-202604","M010","2026-04-01","104170","110000"
"COV-M010-202605","M010","2026-05-01","104170","110000"
"COV-M010-202606","M010","2026-06-01","104170","110000"
"COV-M011-202501","M011","2025-01-01","109693","116200"
"COV-M011-202502","M011","2025-02-01","109693","116200"
"COV-M011-202503","M011","2025-03-01","109693","116200"
"COV-M011-202504","M011","2025-04-01","109693","116200"
"COV-M011-202505","M011","2025-05-01","109693","116200"
"COV-M011-202506","M011","2025-06-01","109693","116200"
"COV-M011-202507","M011","2025-07-01","109693","116200"
"COV-M011-202508","M011","2025-08-01","109693","116200"
"COV-M011-202509","M011","2025-09-01","109693","116200"
"COV-M011-202510","M011","2025-10-01","109693","116200"
"COV-M011-202511","M011","2025-11-01","109693","116200"
"COV-M011-202512","M011","2025-12-01","109693","116200"
"COV-M011-202601","M011","2026-01-01","109693","116200"
"COV-M011-202602","M011","2026-02-01","109693","116200"
"COV-M011-202603","M011","2026-03-01","103883","116200"
"COV-M011-202604","M011","2026-04-01","103883","116200"
"COV-M011-202605","M011","2026-05-01","103883","116200"
"COV-M011-202606","M011","2026-06-01","103883","116200"
"COV-M012-202501","M012","2025-01-01","116280","122400"
"COV-M012-202502","M012","2025-02-01","116280","122400"
"COV-M012-202503","M012","2025-03-01","116280","122400"
"COV-M012-202504","M012","2025-04-01","116280","122400"
"COV-M012-202505","M012","2025-05-01","116280","122400"
"COV-M012-202506","M012","2025-06-01","116280","122400"
"COV-M012-202507","M012","2025-07-01","116280","122400"
"COV-M012-202508","M012","2025-08-01","116280","122400"
"COV-M012-202509","M012","2025-09-01","116280","122400"
"COV-M012-202510","M012","2025-10-01","116280","122400"
"COV-M012-202511","M012","2025-11-01","116280","122400"
"COV-M012-202512","M012","2025-12-01","116280","122400"
"COV-M012-202601","M012","2026-01-01","116280","122400"
"COV-M012-202602","M012","2026-02-01","116280","122400"
"COV-M012-202603","M012","2026-03-01","116280","122400"
"COV-M012-202604","M012","2026-04-01","116280","122400"
"COV-M012-202605","M012","2026-05-01","116280","122400"
"COV-M012-202606","M012","2026-06-01","116280","122400"
"COV-M013-202501","M013","2025-01-01","121784","128600"
"COV-M013-202502","M013","2025-02-01","121784","128600"
"COV-M013-202503","M013","2025-03-01","121784","128600"
"COV-M013-202504","M013","2025-04-01","121784","128600"
"COV-M013-202505","M013","2025-05-01","121784","128600"
"COV-M013-202506","M013","2025-06-01","121784","128600"
"COV-M013-202507","M013","2025-07-01","121784","128600"
"COV-M013-202508","M013","2025-08-01","121784","128600"
"COV-M013-202509","M013","2025-09-01","121784","128600"
"COV-M013-202510","M013","2025-10-01","121784","128600"
"COV-M013-202511","M013","2025-11-01","121784","128600"
"COV-M013-202512","M013","2025-12-01","121784","128600"
"COV-M013-202601","M013","2026-01-01","121784","128600"
"COV-M013-202602","M013","2026-02-01","121784","128600"
"COV-M013-202603","M013","2026-03-01","121784","128600"
"COV-M013-202604","M013","2026-04-01","121784","128600"
"COV-M013-202605","M013","2026-05-01","121784","128600"
"COV-M013-202606","M013","2026-06-01","121784","128600"
"COV-M014-202501","M014","2025-01-01","127251","134800"
"COV-M014-202502","M014","2025-02-01","127251","134800"
"COV-M014-202503","M014","2025-03-01","127251","134800"
"COV-M014-202504","M014","2025-04-01","127251","134800"
"COV-M014-202505","M014","2025-05-01","127251","134800"
"COV-M014-202506","M014","2025-06-01","127251","134800"
"COV-M014-202507","M014","2025-07-01","127251","134800"
"COV-M014-202508","M014","2025-08-01","127251","134800"
"COV-M014-202509","M014","2025-09-01","127251","134800"
"COV-M014-202510","M014","2025-10-01","127251","134800"
"COV-M014-202511","M014","2025-11-01","127251","134800"
"COV-M014-202512","M014","2025-12-01","127251","134800"
"COV-M014-202601","M014","2026-01-01","127251","134800"
"COV-M014-202602","M014","2026-02-01","127251","134800"
"COV-M014-202603","M014","2026-03-01","127251","134800"
"COV-M014-202604","M014","2026-04-01","127251","134800"
"COV-M014-202605","M014","2026-05-01","127251","134800"
"COV-M014-202606","M014","2026-06-01","127251","134800"
"COV-M015-202501","M015","2025-01-01","133950","141000"
"COV-M015-202502","M015","2025-02-01","133950","141000"
"COV-M015-202503","M015","2025-03-01","133950","141000"
"COV-M015-202504","M015","2025-04-01","133950","141000"
"COV-M015-202505","M015","2025-05-01","133950","141000"
"COV-M015-202506","M015","2025-06-01","133950","141000"
"COV-M015-202507","M015","2025-07-01","133950","141000"
"COV-M015-202508","M015","2025-08-01","133950","141000"
"COV-M015-202509","M015","2025-09-01","133950","141000"
"COV-M015-202510","M015","2025-10-01","133950","141000"
"COV-M015-202511","M015","2025-11-01","133950","141000"
"COV-M015-202512","M015","2025-12-01","133950","141000"
"COV-M015-202601","M015","2026-01-01","133950","141000"
"COV-M015-202602","M015","2026-02-01","133950","141000"
"COV-M015-202603","M015","2026-03-01","133950","141000"
"COV-M015-202604","M015","2026-04-01","133950","141000"
"COV-M015-202605","M015","2026-05-01","133950","141000"
"COV-M015-202606","M015","2026-06-01","133950","141000"
"COV-M016-202501","M016","2025-01-01","139398","147200"
"COV-M016-202502","M016","2025-02-01","139398","147200"
"COV-M016-202503","M016","2025-03-01","139398","147200"
"COV-M016-202504","M016","2025-04-01","139398","147200"
"COV-M016-202505","M016","2025-05-01","139398","147200"
"COV-M016-202506","M016","2025-06-01","139398","147200"
"COV-M016-202507","M016","2025-07-01","139398","147200"
"COV-M016-202508","M016","2025-08-01","139398","147200"
"COV-M016-202509","M016","2025-09-01","139398","147200"
"COV-M016-202510","M016","2025-10-01","139398","147200"
"COV-M016-202511","M016","2025-11-01","139398","147200"
"COV-M016-202512","M016","2025-12-01","139398","147200"
"COV-M016-202601","M016","2026-01-01","139398","147200"
"COV-M016-202602","M016","2026-02-01","139398","147200"
"COV-M016-202603","M016","2026-03-01","139398","147200"
"COV-M016-202604","M016","2026-04-01","139398","147200"
"COV-M016-202605","M016","2026-05-01","139398","147200"
"COV-M016-202606","M016","2026-06-01","139398","147200"
"COV-M017-202501","M017","2025-01-01","144810","153400"
"COV-M017-202502","M017","2025-02-01","144810","153400"
"COV-M017-202503","M017","2025-03-01","144810","153400"
"COV-M017-202504","M017","2025-04-01","144810","153400"
"COV-M017-202505","M017","2025-05-01","144810","153400"
"COV-M017-202506","M017","2025-06-01","144810","153400"
"COV-M017-202507","M017","2025-07-01","144810","153400"
"COV-M017-202508","M017","2025-08-01","144810","153400"
"COV-M017-202509","M017","2025-09-01","144810","153400"
"COV-M017-202510","M017","2025-10-01","144810","153400"
"COV-M017-202511","M017","2025-11-01","144810","153400"
"COV-M017-202512","M017","2025-12-01","144810","153400"
"COV-M017-202601","M017","2026-01-01","144810","153400"
"COV-M017-202602","M017","2026-02-01","144810","153400"
"COV-M017-202603","M017","2026-03-01","144810","153400"
"COV-M017-202604","M017","2026-04-01","144810","153400"
"COV-M017-202605","M017","2026-05-01","144810","153400"
"COV-M017-202606","M017","2026-06-01","144810","153400"
"COV-M018-202501","M018","2025-01-01","151620","159600"
"COV-M018-202502","M018","2025-02-01","151620","159600"
"COV-M018-202503","M018","2025-03-01","151620","159600"
"COV-M018-202504","M018","2025-04-01","151620","159600"
"COV-M018-202505","M018","2025-05-01","151620","159600"
"COV-M018-202506","M018","2025-06-01","151620","159600"
"COV-M018-202507","M018","2025-07-01","151620","159600"
"COV-M018-202508","M018","2025-08-01","151620","159600"
"COV-M018-202509","M018","2025-09-01","151620","159600"
"COV-M018-202510","M018","2025-10-01","151620","159600"
"COV-M018-202511","M018","2025-11-01","151620","159600"
"COV-M018-202512","M018","2025-12-01","151620","159600"
"COV-M018-202601","M018","2026-01-01","151620","159600"
"COV-M018-202602","M018","2026-02-01","151620","159600"
"COV-M018-202603","M018","2026-03-01","151620","159600"
"COV-M018-202604","M018","2026-04-01","151620","159600"
"COV-M018-202605","M018","2026-05-01","151620","159600"
"COV-M018-202606","M018","2026-06-01","151620","159600"
"COV-M019-202501","M019","2025-01-01","157013","165800"
"COV-M019-202502","M019","2025-02-01","157013","165800"
"COV-M019-202503","M019","2025-03-01","157013","165800"
"COV-M019-202504","M019","2025-04-01","157013","165800"
"COV-M019-202505","M019","2025-05-01","157013","165800"
"COV-M019-202506","M019","2025-06-01","157013","165800"
"COV-M019-202507","M019","2025-07-01","157013","165800"
"COV-M019-202508","M019","2025-08-01","157013","165800"
"COV-M019-202509","M019","2025-09-01","157013","165800"
"COV-M019-202510","M019","2025-10-01","157013","165800"
"COV-M019-202511","M019","2025-11-01","157013","165800"
"COV-M019-202512","M019","2025-12-01","157013","165800"
"COV-M019-202601","M019","2026-01-01","157013","165800"
"COV-M019-202602","M019","2026-02-01","157013","165800"
"COV-M019-202603","M019","2026-03-01","157013","165800"
"COV-M019-202604","M019","2026-04-01","157013","165800"
"COV-M019-202605","M019","2026-05-01","157013","165800"
"COV-M019-202606","M019","2026-06-01","157013","165800"
"COV-M020-202501","M020","2025-01-01","162368","172000"
"COV-M020-202502","M020","2025-02-01","162368","172000"
"COV-M020-202503","M020","2025-03-01","162368","172000"
"COV-M020-202504","M020","2025-04-01","162368","172000"
"COV-M020-202505","M020","2025-05-01","162368","172000"
"COV-M020-202506","M020","2025-06-01","162368","172000"
"COV-M020-202507","M020","2025-07-01","162368","172000"
"COV-M020-202508","M020","2025-08-01","162368","172000"
"COV-M020-202509","M020","2025-09-01","162368","172000"
"COV-M020-202510","M020","2025-10-01","162368","172000"
"COV-M020-202511","M020","2025-11-01","162368","172000"
"COV-M020-202512","M020","2025-12-01","162368","172000"
"COV-M020-202601","M020","2026-01-01","162368","172000"
"COV-M020-202602","M020","2026-02-01","162368","172000"
"COV-M020-202603","M020","2026-03-01","162368","172000"
"COV-M020-202604","M020","2026-04-01","162368","172000"
"COV-M020-202605","M020","2026-05-01","162368","172000"
"COV-M020-202606","M020","2026-06-01","162368","172000"
"COV-M021-202501","M021","2025-01-01","169290","178200"
"COV-M021-202502","M021","2025-02-01","169290","178200"
"COV-M021-202503","M021","2025-03-01","169290","178200"
"COV-M021-202504","M021","2025-04-01","169290","178200"
"COV-M021-202505","M021","2025-05-01","169290","178200"
"COV-M021-202506","M021","2025-06-01","169290","178200"
"COV-M021-202507","M021","2025-07-01","169290","178200"
"COV-M021-202508","M021","2025-08-01","169290","178200"
"COV-M021-202509","M021","2025-09-01","169290","178200"
"COV-M021-202510","M021","2025-10-01","169290","178200"
"COV-M021-202511","M021","2025-11-01","169290","178200"
"COV-M021-202512","M021","2025-12-01","169290","178200"
"COV-M021-202601","M021","2026-01-01","169290","178200"
"COV-M021-202602","M021","2026-02-01","169290","178200"
"COV-M021-202603","M021","2026-03-01","169290","178200"
"COV-M021-202604","M021","2026-04-01","169290","178200"
"COV-M021-202605","M021","2026-05-01","169290","178200"
"COV-M021-202606","M021","2026-06-01","169290","178200"
"COV-M022-202501","M022","2025-01-01","174627","184400"
"COV-M022-202502","M022","2025-02-01","174627","184400"
"COV-M022-202503","M022","2025-03-01","174627","184400"
"COV-M022-202504","M022","2025-04-01","174627","184400"
"COV-M022-202505","M022","2025-05-01","174627","184400"
"COV-M022-202506","M022","2025-06-01","174627","184400"
"COV-M022-202507","M022","2025-07-01","174627","184400"
"COV-M022-202508","M022","2025-08-01","174627","184400"
"COV-M022-202509","M022","2025-09-01","174627","184400"
"COV-M022-202510","M022","2025-10-01","174627","184400"
"COV-M022-202511","M022","2025-11-01","174627","184400"
"COV-M022-202512","M022","2025-12-01","174627","184400"
"COV-M022-202601","M022","2026-01-01","174627","184400"
"COV-M022-202602","M022","2026-02-01","174627","184400"
"COV-M022-202603","M022","2026-03-01","174627","184400"
"COV-M022-202604","M022","2026-04-01","174627","184400"
"COV-M022-202605","M022","2026-05-01","174627","184400"
"COV-M022-202606","M022","2026-06-01","174627","184400"
"COV-M023-202501","M023","2025-01-01","179926","190600"
"COV-M023-202502","M023","2025-02-01","179926","190600"
"COV-M023-202503","M023","2025-03-01","179926","190600"
"COV-M023-202504","M023","2025-04-01","179926","190600"
"COV-M023-202505","M023","2025-05-01","179926","190600"
"COV-M023-202506","M023","2025-06-01","179926","190600"
"COV-M023-202507","M023","2025-07-01","179926","190600"
"COV-M023-202508","M023","2025-08-01","179926","190600"
"COV-M023-202509","M023","2025-09-01","179926","190600"
"COV-M023-202510","M023","2025-10-01","179926","190600"
"COV-M023-202511","M023","2025-11-01","179926","190600"
"COV-M023-202512","M023","2025-12-01","179926","190600"
"COV-M023-202601","M023","2026-01-01","179926","190600"
"COV-M023-202602","M023","2026-02-01","179926","190600"
"COV-M023-202603","M023","2026-03-01","179926","190600"
"COV-M023-202604","M023","2026-04-01","179926","190600"
"COV-M023-202605","M023","2026-05-01","179926","190600"
"COV-M023-202606","M023","2026-06-01","179926","190600"
"COV-M024-202501","M024","2025-01-01","186960","196800"
"COV-M024-202502","M024","2025-02-01","186960","196800"
"COV-M024-202503","M024","2025-03-01","186960","196800"
"COV-M024-202504","M024","2025-04-01","186960","196800"
"COV-M024-202505","M024","2025-05-01","186960","196800"
"COV-M024-202506","M024","2025-06-01","186960","196800"
"COV-M024-202507","M024","2025-07-01","186960","196800"
"COV-M024-202508","M024","2025-08-01","186960","196800"
"COV-M024-202509","M024","2025-09-01","186960","196800"
"COV-M024-202510","M024","2025-10-01","186960","196800"
"COV-M024-202511","M024","2025-11-01","186960","196800"
"COV-M024-202512","M024","2025-12-01","186960","196800"
"COV-M024-202601","M024","2026-01-01","186960","196800"
"COV-M024-202602","M024","2026-02-01","186960","196800"
"COV-M024-202603","M024","2026-03-01","186960","196800"
"COV-M024-202604","M024","2026-04-01","186960","196800"
"COV-M024-202605","M024","2026-05-01","186960","196800"
"COV-M024-202606","M024","2026-06-01","186960","196800"
"COV-M025-202501","M025","2025-01-01","192241","203000"
"COV-M025-202502","M025","2025-02-01","192241","203000"
"COV-M025-202503","M025","2025-03-01","192241","203000"
"COV-M025-202504","M025","2025-04-01","192241","203000"
"COV-M025-202505","M025","2025-05-01","192241","203000"
"COV-M025-202506","M025","2025-06-01","192241","203000"
"COV-M025-202507","M025","2025-07-01","192241","203000"
"COV-M025-202508","M025","2025-08-01","192241","203000"
"COV-M025-202509","M025","2025-09-01","192241","203000"
"COV-M025-202510","M025","2025-10-01","192241","203000"
"COV-M025-202511","M025","2025-11-01","192241","203000"
"COV-M025-202512","M025","2025-12-01","192241","203000"
"COV-M025-202601","M025","2026-01-01","192241","203000"
"COV-M025-202602","M025","2026-02-01","192241","203000"
"COV-M025-202603","M025","2026-03-01","192241","203000"
"COV-M025-202604","M025","2026-04-01","192241","203000"
"COV-M025-202605","M025","2026-05-01","192241","203000"
"COV-M025-202606","M025","2026-06-01","192241","203000"
